#1
double tab1(3247,2)   # comment line
0.0000	0.980592388
0.0012	1.12231175
0.0028	1.279232558
0.0047	1.417926924
0.0061	1.413317499
0.0073	1.126766248
0.0082	0.832723573
0.0091	0.528921049
0.0096	0.295003964
0.0103	0.290167833
0.0111	0.285487707
0.0118	0.252410074
0.0127	0.196312009
0.0140	0.084355938
0.0154	0.000330086
0.0158	-0.126375784
0.0169	-0.238397064
0.0179	-0.319715137
0.0187	-0.436571002
0.0196	-0.620927708
0.0203	-0.785353488
0.0214	-0.932136132
0.0223	-1.012313164
0.0231	-1.161812037
0.0239	-1.146525037
0.0245	-1.215797117
0.0252	-1.200209975
0.0259	-1.185017443
0.0271	-1.084230102
0.0283	-0.989622439
0.0290	-0.872325419
0.0311	-0.749682053
0.0320	-0.613770451
0.0326	-0.566231284
0.0333	-0.595372919
0.0339	-0.680403877
0.0342	-0.629900126
0.0350	-0.581226675
0.0358	-0.559026051
0.0385	-0.506137963
0.0393	-0.523206553
0.0411	-0.66009537
0.0476	-0.765594775
0.0500	-0.847228583
0.0536	-0.952487734
0.0566	-0.98945104
0.0590	-0.985901507
0.0602	-0.95637617
0.0769	-0.901528448
0.0852	-0.820753523
0.0876	-0.820178851
0.0896	-0.814410077
0.0956	-0.773087105
0.1050	-0.774497357
0.1133	-0.832744011
0.1190	-0.930248752
0.1362	-0.973115021
0.1422	-0.750539612
0.1466	-0.550655246
0.1525	-0.499437768
0.1584	-0.474307722
0.1627	-0.688167444
0.1678	-0.78992452
0.1734	-0.97472951
0.1794	-0.64528847
0.1836	-0.415236832
0.1873	-0.096327682
0.1932	-0.002437469
0.1996	0.173264842
0.2065	0.353513516
0.2123	0.368653567
0.2175	0.34560677
0.2215	0.34560677
0.2250	0.226210559
0.2265	0.035915909
0.2281	-0.170872549
0.2306	-0.420093014
0.2337	-0.690546056
0.2375	-1.023331679
0.2431	-1.250900849
0.2489	-1.517531557
0.2565	-1.893270793
0.2657	-2.370759358
0.2765	-2.556867752
0.2877	-2.409909705
0.2994	-2.563992804
0.3124	-2.434300757
0.3262	-2.350894499
0.3395	-2.347043671
0.3530	-2.257183468
0.3671	-2.300331997
0.3812	-2.30660155
0.3957	-2.152624818
0.4107	-1.936216274
0.4259	-1.667136662
0.4411	-1.385326924
0.4566	-1.196403375
0.4721	-1.350288708
0.4877	-1.517114481
0.5031	-1.470700458
0.5186	-1.420304693
0.5324	-1.187701403
0.5462	-1.206367746
0.5611	-1.219056527
0.5743	-1.307248831
0.5891	-1.318731991
0.6041	-1.051175327
0.6188	-0.893475239
0.6336	-0.634352244
0.6483	-0.440609138
0.6633	-0.440609138
0.6787	-0.338912463
0.6945	-0.268936658
0.7094	-0.140682794
0.7231	-0.118488822
0.7369	-0.064416047
0.7518	0.066038387
0.7670	0.203668298
0.7820	0.316403822
0.7969	0.502850157
0.8107	0.704098042
0.8241	0.827460258
0.8372	1.03472729
0.8501	1.102699929
0.8630	1.223736846
0.8760	1.223736846
0.8887	1.287899967
0.8998	1.287899967
0.9097	1.287899967
0.9188	1.295646475
0.9268	1.341253756
0.9341	1.306594485
0.9413	1.317067455
0.9471	1.310088442
0.9572	1.36558729
0.9668	1.5046687
0.9755	1.722852984
0.9839	1.785030921
0.9926	1.857097122
1.0010	1.843069107
1.0071	1.958884508
1.0136	2.073776366
1.0182	2.329979054
1.0209	2.532775793
1.0229	2.689852034
1.0249	2.932463202
1.0268	3.084311954
1.0282	3.185696899
1.0291	3.282673209
1.0299	3.308050636
1.0301	3.35222608
1.0317	3.351999041
1.0326	3.167113972
1.0330	3.030159405
1.0345	2.976557029
1.0357	2.97381579
1.0361	2.935713815
1.0364	2.945666447
1.0372	2.959505584
1.0379	3.013078027
1.0390	2.961860548
1.0407	3.185622773
1.0413	3.165722999
1.0422	3.115288313
1.0441	3.093766304
1.0452	3.047027588
1.0534	3.040988853
1.0556	3.0745474
1.0577	3.171205832
1.0593	3.31138637
1.0611	3.33957519
1.0631	3.380356906
1.0645	3.428784408
1.0652	3.387255612
1.0662	3.32606154
1.0668	3.322865071
1.0673	3.769599983
1.0687	3.925041445
1.0704	4.123292036
1.0724	4.289873445
1.0743	4.544730986
1.0763	4.777057907
1.0785	4.971869143
1.0804	5.074415587
1.0818	5.150338471
1.0828	5.183027654
1.0837	5.228150872
1.0844	5.291399956
1.0850	5.32792068
1.0861	5.345467339
1.0869	5.263454226
1.0879	5.123009903
1.0893	5.000048872
1.0907	4.893348952
1.0926	4.893348952
1.0947	4.893348952
1.0964	4.764370101
1.0978	4.764370101
1.0995	4.548222091
1.1006	4.400490542
1.1023	4.428107564
1.1046	4.450576006
1.1073	4.349378563
1.1097	4.365139409
1.1121	4.289212752
1.1139	4.25569094
1.1148	4.25569094
1.1157	4.141338133
1.1161	3.544032534
1.1182	3.414969629
1.1212	3.327348331
1.1240	3.18124234
1.1271	3.124742384
1.1305	3.135495265
1.1340	3.031707568
1.1379	3.021784217
1.1427	3.041899321
1.1470	3.062333107
1.1517	3.134162169
1.1568	3.195765038
1.1620	3.249022339
1.1663	3.225315259
1.1700	3.146258984
1.1734	3.117767243
1.1765	3.061674778
1.1788	3.001921277
1.1804	2.941130704
1.1818	2.893625698
1.1837	2.790306005
1.1861	2.712534248
1.1893	2.630324908
1.1928	2.663138777
1.1966	2.542126756
1.2006	2.447793792
1.2056	2.322817505
1.2111	2.279393097
1.2170	2.206681278
1.2229	2.072506813
1.2285	1.965588046
1.2345	1.818298252
1.2409	1.627418727
1.2478	1.507671376
1.2544	1.325055745
1.2607	1.18238135
