#1
double tab1(3081,2)   # comment line
0.00	0.00000
1.00	0.00000
2.00	4.57897
3.00	6.81442
4.00	7.59279
5.00	7.69373
6.00	6.75365
7.00	5.40307
8.00	4.53871
9.00	3.12107
10.00	3.07400
11.00	4.74444
12.00	7.18660
13.00	9.29927
14.00	10.91943
15.00	12.78582
16.00	13.27678
17.00	13.93953
18.00	14.46448
19.00	15.08496
20.00	15.67881
21.00	16.40004
22.00	15.91446
23.00	14.87735
24.00	13.56223
25.00	12.43214
26.00	12.55819
27.00	14.73481
28.00	17.59974
29.00	19.98299
30.00	21.99190
31.00	24.21926
32.00	26.35316
33.00	27.88073
34.00	28.95627
35.00	29.64250
36.00	30.25135
37.00	30.61083
38.00	30.89509
39.00	31.07769
40.00	31.26193
41.00	31.30435
42.00	31.42434
43.00	31.46683
44.00	31.60127
45.00	31.68611
46.00	31.67893
47.00	31.52356
48.00	31.32533
49.00	31.14886
50.00	31.20521
51.00	31.25484
52.00	31.33257
53.00	31.46697
54.00	31.66486
55.00	31.70027
56.00	31.83448
57.00	32.01844
58.00	32.23052
59.00	32.32238
60.00	32.56980
61.00	32.70414
62.00	32.90924
63.00	33.00801
64.00	33.20611
65.00	33.35497
66.00	33.54557
67.00	33.72216
68.00	33.56055
69.00	33.48126
70.00	33.29116
71.00	32.92294
72.00	32.61253
73.00	32.31563
74.00	32.00333
75.00	31.52320
76.00	30.84451
77.00	30.15907
78.00	29.22587
79.00	26.69836
80.00	23.60194
81.00	20.12328
82.00	16.44648
83.00	13.43059
84.00	11.01963
85.00	9.11983
86.00	8.50445
87.00	9.00752
88.00	10.24457
89.00	12.88936
90.00	15.61115
91.00	17.13680
92.00	17.65954
93.00	17.83729
94.00	18.48707
95.00	19.16603
96.00	19.46978
97.00	19.39881
98.00	18.77552
99.00	16.88929
100.00	15.80034
101.00	14.32963
102.00	12.95819
103.00	11.52278
104.00	10.77413
105.00	10.94380
106.00	10.85896
107.00	10.89459
108.00	10.97268
109.00	10.98621
110.00	10.95052
111.00	10.81654
112.00	10.72506
113.00	11.06441
114.00	11.76294
115.00	11.76944
116.00	11.62902
117.00	11.53765
118.00	11.86397
119.00	12.12493
120.00	12.02715
121.00	12.45151
122.00	13.62629
123.00	15.03227
124.00	16.27555
125.00	17.00310
126.00	17.63936
127.00	18.27560
128.00	19.06867
129.00	19.67545
130.00	20.05723
131.00	20.31813
132.00	20.71692
133.00	21.16649
134.00	21.74746
135.00	22.17812
136.00	22.72958
137.00	23.23854
138.00	23.62672
139.00	23.83881
140.00	23.83252
141.00	23.97234
142.00	23.99590
143.00	23.96607
144.00	23.92365
145.00	23.92365
146.00	24.08701
147.00	24.33535
148.00	24.19681
149.00	24.34156
150.00	24.31165
151.00	24.45149
152.00	24.59605
153.00	24.53633
154.00	24.58499
